DateTime                   Qvap_z1           Qvap_z2           Qvap_z3           Qvap_z4           Qvap_z5           Qvap_z6           Qvap_z7           Qvap_z8           Qvap_z9          Qvap_z10          Qvap_z11          Qvap_z12          Qvap_z13          Qvap_z14          Qvap_z15          Qvap_z16          Qvap_z17          Qvap_z18          Qvap_z19          Qvap_z20          Qvap_z21          Qvap_z22          Qvap_z23          Qvap_z24          Qvap_z25          Qvap_z26          Qvap_z27          Qvap_z28          Qvap_z29          Qvap_z30          Qvap_z31          Qvap_z32          Qvap_z33          Qvap_z34          Qvap_z35          Qvap_z36          Qvap_z37          Qvap_z38          Qvap_z39          Qvap_z40          Qvap_z41          Qvap_z42          Qvap_z43          Qvap_z44          Qvap_z45          Qvap_z46          Qvap_z47          Qvap_z48          Qvap_z49          Qvap_z50          Qvap_z51          Qvap_z52          Qvap_z53          Qvap_z54          Qvap_z55          Qvap_z56          Qvap_z57          Qvap_z58          Qvap_z59          Qvap_z60          Qvap_z61          Qvap_z62          Qvap_z63          Qvap_z64          Qvap_z65          Qvap_z66          Qvap_z67          Qvap_z68          Qvap_z69          Qvap_z70          Qvap_z71          Qvap_z72          Qvap_z73          Qvap_z74          Qvap_z75          Qvap_z76          Qvap_z77          Qvap_z78          Qvap_z79          Qvap_z80          Qvap_z81          Qvap_z82          Qvap_z83          Qvap_z84          Qvap_z85          Qvap_z86          Qvap_z87          Qvap_z88          Qvap_z89          Qvap_z90          Qvap_z91          Qvap_z92          Qvap_z93          Qvap_z94          Qvap_z95          Qvap_z96          Qvap_z97          Qvap_z98          Qvap_z99
Height(km)                   0.018             0.054             0.094             0.138             0.185             0.236             0.292             0.353             0.418             0.489             0.566             0.649             0.739             0.835             0.938             1.050             1.169             1.297             1.434             1.581             1.739             1.908             2.079             2.248             2.414             2.578             2.740             2.902             3.063             3.224             3.385             3.546             3.707             3.869             4.032             4.195             4.359             4.524             4.691             4.858             5.026             5.195             5.366             5.537             5.711             5.885             6.062             6.240             6.420             6.602             6.786             6.972             7.161             7.351             7.543             7.738             7.934             8.133             8.334             8.538             8.744             8.954             9.166             9.381             9.598             9.816            10.036            10.258            10.480            10.702            10.923            11.142            11.360            11.578            11.794            12.009            12.224            12.438            12.652            12.865            13.079            13.292            13.505            13.719            13.933            14.146            14.361            14.575            14.790            15.005            15.220            15.435            15.651            15.866            16.082            16.297            16.513            16.728            16.943
26/01/14_00:00      0.002136520576    0.002136029303    0.002135359449    0.002134655835    0.001967431512    0.002056422178    0.002116383519    0.001991756726    0.001858330332    0.001715870807    0.001564498874    0.001404516050    0.001236389624    0.001060847659    0.000902448955    0.000776172266    0.000659584650    0.000555180362    0.000465309189    0.000389791327    0.000326083304    0.000280667766    0.000253788719    0.000243436356    0.000258846616    0.000272278412    0.000283610891    0.000292782846    0.000292424404    0.000279607484    0.000264046364    0.000246513489    0.000227641765    0.000209152829    0.000191979270    0.000174232773    0.000156451701    0.000139050026    0.000122331447    0.000102492217    0.000084916901    0.000069933878    0.000057062978    0.000045891695    0.000036053145    0.000030370309    0.000025796962    0.000021957369    0.000018719060    0.000015978178    0.000013653389    0.000011633231    0.000009823279    0.000008271716    0.000006993766    0.000005971943    0.000005160165    0.000004560451    0.000004191402    0.000003897064    0.000003557769    0.000003209503    0.000002903393    0.000002711217    0.000002609674    0.000002613248    0.000002718374    0.000002841226    0.000002842579    0.000002824494    0.000002785248    0.000002724157    0.000002643359    0.000002627012    0.000002606818    0.000002588312    0.000002575685    0.000002572366    0.000002580336    0.000002600182    0.000002624397    0.000002651209    0.000002679192    0.000002707338    0.000002733458    0.000002755275    0.000002769525    0.000002771627    0.000002756339    0.000002729909    0.000002733428    0.000002733681    0.000002731442    0.000002727737    0.000002723293    0.000002719368    0.000002716577    0.000002715877    0.000002718523
26/01/14_00:30      0.002077206271    0.002077273792    0.002054872923    0.002021024935    0.001982347807    0.001938777277    0.001890226849    0.001838362892    0.001783814048    0.001723882509    0.001661437331    0.001580067794    0.001479949104    0.001368036959    0.001230064430    0.001073446940    0.000907325768    0.000740763382    0.000588380208    0.000456215988    0.000355487864    0.000286954950    0.000248193246    0.000236627107    0.000237534128    0.000243964663    0.000251424906    0.000256236613    0.000256717234    0.000252568629    0.000243827541    0.000231702172    0.000217463661    0.000202434487    0.000187458412    0.000172848086    0.000158245311    0.000142983336    0.000126494560    0.000108810411    0.000090723530    0.000073465606    0.000058178033    0.000045536031    0.000035723679    0.000028693235    0.000023948483    0.000020497884    0.000017638340    0.000015248094    0.000013182143    0.000011240905    0.000009354332    0.000007655658    0.000006312210    0.000005336767    0.000004634582    0.000004107643    0.000003715964    0.000003344049    0.000003019106    0.000002806181    0.000002662326    0.000002558984    0.000002537439    0.000002605919    0.000002723011    0.000002804675    0.000002773793    0.000002744403    0.000002717657    0.000002689047    0.000002644870    0.000002619339    0.000002617970    0.000002621456    0.000002617828    0.000002607551    0.000002593610    0.000002582945    0.000002583776    0.000002596220    0.000002615984    0.000002640347    0.000002667536    0.000002694906    0.000002718974    0.000002734915    0.000002738086    0.000002735358    0.000002745473    0.000002753594    0.000002757176    0.000002757129    0.000002754020    0.000002748478    0.000002741153    0.000002732872    0.000002724406
26/01/14_01:00      0.001968534663    0.001947776298    0.001922100317    0.001887113671    0.001848720131    0.001806291984    0.001760134823    0.001710661687    0.001659416594    0.001604729565    0.001547299093    0.001486598398    0.001422423869    0.001354285632    0.001284632366    0.001154401572    0.001006307895    0.000840244640    0.000671045913    0.000515322899    0.000394605100    0.000317328027    0.000283136993    0.000277498330    0.000281243236    0.000290478405    0.000297477527    0.000298302883    0.000291468226    0.000277640997    0.000258707703    0.000237344328    0.000216043656    0.000196354973    0.000179234048    0.000164629644    0.000151510598    0.000138269432    0.000123613383    0.000107331558    0.000090059359    0.000073259442    0.000058327387    0.000045996396    0.000036369853    0.000029334278    0.000024402496    0.000020653790    0.000017434848    0.000014679128    0.000012333194    0.000010332981    0.000008651194    0.000007291541    0.000006214558    0.000005334806    0.000004601992    0.000004031047    0.000003608342    0.000003231305    0.000002912755    0.000002722829    0.000002608713    0.000002545027    0.000002572292    0.000002667968    0.000002762581    0.000002790578    0.000002748491    0.000002721079    0.000002695526    0.000002667766    0.000002634689    0.000002621817    0.000002624044    0.000002626174    0.000002621844    0.000002612424    0.000002598783    0.000002585738    0.000002583397    0.000002594626    0.000002614151    0.000002638278    0.000002665160    0.000002692379    0.000002716215    0.000002731823    0.000002735607    0.000002734441    0.000002740097    0.000002743109    0.000002743054    0.000002741000    0.000002737568    0.000002733369    0.000002728827    0.000002724530    0.000002720814
26/01/14_01:30      0.001854627975    0.001826112741    0.001802008599    0.001774178003    0.001742482418    0.001707524993    0.001668434590    0.001624691417    0.001575465663    0.001521460712    0.001462915097    0.001399660949    0.001332809334    0.001263614045    0.001195258577    0.001070974977    0.000936785247    0.000788398029    0.000641563907    0.000509206962    0.000412299996    0.000354106800    0.000329013885    0.000327178946    0.000331189629    0.000334941607    0.000333353120    0.000322736189    0.000304052228    0.000281195709    0.000258052809    0.000237320462    0.000219420588    0.000203885633    0.000189590559    0.000175498630    0.000160856594    0.000145127589    0.000127927124    0.000109389570    0.000090361471    0.000072168390    0.000056116121    0.000042992779    0.000033028351    0.000026153253    0.000021752327    0.000018675044    0.000016099462    0.000013931183    0.000012037718    0.000010221253    0.000008495505    0.000007068575    0.000006019270    0.000005213195    0.000004538932    0.000003994238    0.000003582424    0.000003204523    0.000002877273    0.000002680881    0.000002575950    0.000002539208    0.000002590721    0.000002692326    0.000002767661    0.000002773434    0.000002733319    0.000002705550    0.000002680985    0.000002656865    0.000002635706    0.000002628205    0.000002629831    0.000002630551    0.000002625794    0.000002616172    0.000002601832    0.000002587675    0.000002584958    0.000002597169    0.000002618002    0.000002642181    0.000002668110    0.000002693625    0.000002715639    0.000002730213    0.000002733943    0.000002731403    0.000002731772    0.000002731072    0.000002729217    0.000002726886    0.000002724411    0.000002722111    0.000002720192    0.000002718963    0.000002718462
26/01/14_02:00      0.001813301002    0.001784131513    0.001763859880    0.001739650499    0.001709630596    0.001674181665    0.001634048647    0.001587986480    0.001536974334    0.001481119310    0.001420299639    0.001354680164    0.001285198610    0.001213271753    0.001140878885    0.001071213395    0.000959070690    0.000832899532    0.000703151221    0.000581237138    0.000484559656    0.000427521998    0.000404864637    0.000401525904    0.000398363423    0.000389216846    0.000367502100    0.000335115677    0.000297188992    0.000262185989    0.000236476480    0.000221883500    0.000216312983    0.000214409069    0.000210362428    0.000200726747    0.000184777062    0.000163922829    0.000140633390    0.000116857882    0.000093882372    0.000072721610    0.000054288495    0.000039309743    0.000028203844    0.000021106393    0.000017432072    0.000015579455    0.000014263440    0.000013263731    0.000012287162    0.000010846827    0.000008891210    0.000007005934    0.000005687982    0.000004889430    0.000004382726    0.000003985166    0.000003645305    0.000003262743    0.000002904889    0.000002662484    0.000002535056    0.000002515349    0.000002584739    0.000002696550    0.000002769825    0.000002768650    0.000002730277    0.000002709411    0.000002689151    0.000002668433    0.000002649684    0.000002639820    0.000002635284    0.000002630015    0.000002621910    0.000002611882    0.000002600262    0.000002590820    0.000002591665    0.000002604625    0.000002624253    0.000002646195    0.000002669170    0.000002691592    0.000002711126    0.000002725276    0.000002731137    0.000002730851    0.000002730470    0.000002729526    0.000002727962    0.000002726124    0.000002724242    0.000002722559    0.000002721086    0.000002720039    0.000002719474
26/01/14_02:30      0.001720533241    0.001694116974    0.001685158699    0.001670107478    0.001650988241    0.001625147997    0.001593875815    0.001556374831    0.001511770417    0.001459442545    0.001399611123    0.001332778833    0.001259665587    0.001182630076    0.001103959163    0.001026794431    0.000954851974    0.000891473377    0.000771543127    0.000658183009    0.000548144279    0.000467528997    0.000421101257    0.000401132042    0.000384322921    0.000362522609    0.000331636751    0.000292171142    0.000250315585    0.000214891217    0.000191042025    0.000180567018    0.000180374482    0.000184036850    0.000184820179    0.000178800736    0.000164525627    0.000144440477    0.000121914389    0.000099960082    0.000080124715    0.000062819803    0.000048217385    0.000036340272    0.000027257265    0.000021090444    0.000017570470    0.000015669981    0.000014324581    0.000013263516    0.000012263456    0.000010894964    0.000009008242    0.000007065675    0.000005618394    0.000004758278    0.000004277441    0.000003926596    0.000003615857    0.000003242427    0.000002889039    0.000002645362    0.000002522009    0.000002520075    0.000002602722    0.000002714191    0.000002773061    0.000002763440    0.000002728033    0.000002714462    0.000002699068    0.000002682400    0.000002665448    0.000002652157    0.000002641592    0.000002631230    0.000002620351    0.000002609954    0.000002600423    0.000002594370    0.000002597246    0.000002609944    0.000002627789    0.000002646999    0.000002666730    0.000002685893    0.000002703453    0.000002717898    0.000002727219    0.000002730445    0.000002730072    0.000002729084    0.000002727914    0.000002726629    0.000002725338    0.000002724116    0.000002722917    0.000002721948    0.000002721132
26/01/14_03:00      0.001602453529    0.001574560534    0.001569014858    0.001557017560    0.001541481353    0.001520167803    0.001491919160    0.001456603059    0.001413897844    0.001363976044    0.001307441853    0.001244401676    0.001176323043    0.001105215168    0.001033091103    0.000962811348    0.000896550715    0.000837472908    0.000757985574    0.000643135223    0.000537403510    0.000441583135    0.000368377368    0.000321069936    0.000280729000    0.000244998810    0.000211466773    0.000180745075    0.000155070840    0.000136688424    0.000127004707    0.000124694707    0.000127004518    0.000129576816    0.000128797416    0.000122118028    0.000109283726    0.000092455433    0.000074983393    0.000059720627    0.000047897996    0.000039430903    0.000033481090    0.000029023677    0.000025424111    0.000022399157    0.000019800138    0.000017523827    0.000015530393    0.000013779259    0.000012168409    0.000010545446    0.000008838328    0.000007186598    0.000005830413    0.000004881421    0.000004252079    0.000003794135    0.000003460548    0.000003158530    0.000002902303    0.000002733528    0.000002640461    0.000002629955    0.000002687023    0.000002752953    0.000002772760    0.000002748611    0.000002719472    0.000002713937    0.000002703070    0.000002690823    0.000002677225    0.000002664779    0.000002653336    0.000002641607    0.000002629245    0.000002617159    0.000002605559    0.000002596775    0.000002596125    0.000002604598    0.000002617979    0.000002633396    0.000002650229    0.000002668375    0.000002687015    0.000002705313    0.000002721567    0.000002731341    0.000002733733    0.000002734569    0.000002734893    0.000002734510    0.000002733565    0.000002732219    0.000002730486    0.000002728494    0.000002726276
26/01/14_03:30      0.001540420111    0.001512998133    0.001502224826    0.001487379661    0.001467546099    0.001441323780    0.001408240409    0.001368802506    0.001323167235    0.001271758345    0.001215511118    0.001154610189    0.001090716221    0.001025143429    0.000959643978    0.000896020152    0.000835995248    0.000781180337    0.000730468717    0.000614843622    0.000515174004    0.000409281987    0.000318071339    0.000253980717    0.000200553623    0.000159207091    0.000127829684    0.000106710810    0.000094890842    0.000091114387    0.000093427720    0.000098751720    0.000104889368    0.000108784006    0.000108312262    0.000102383485    0.000091456131    0.000077666366    0.000063696316    0.000051739487    0.000042660515    0.000036314777    0.000031882861    0.000028488634    0.000025581599    0.000022924498    0.000020416999    0.000018064165    0.000015927315    0.000014003267    0.000012221064    0.000010498025    0.000008818924    0.000007274607    0.000005987500    0.000005018935    0.000004311323    0.000003772978    0.000003406858    0.000003145191    0.000002950270    0.000002822190    0.000002739454    0.000002711868    0.000002736500    0.000002767437    0.000002766190    0.000002737171    0.000002715330    0.000002714450    0.000002706386    0.000002697945    0.000002687837    0.000002676859    0.000002665207    0.000002652705    0.000002639406    0.000002626042    0.000002612604    0.000002600567    0.000002595009    0.000002598189    0.000002607028    0.000002618755    0.000002633103    0.000002650419    0.000002670663    0.000002693381    0.000002716892    0.000002734231    0.000002741076    0.000002744876    0.000002746905    0.000002747136    0.000002745903    0.000002743589    0.000002740400    0.000002736467    0.000002732041
26/01/14_04:00      0.001505311229    0.001474095974    0.001455553109    0.001431818120    0.001402364462    0.001367999590    0.001328786951    0.001284860889    0.001236343058    0.001183830667    0.001127383322    0.001068138168    0.001006969251    0.000945136533    0.000884028850    0.000825071998    0.000769736595    0.000719836680    0.000656822056    0.000555054634    0.000456600072    0.000353561161    0.000262051675    0.000196613953    0.000145042170    0.000108990949    0.000087233384    0.000076976372    0.000075675045    0.000080234066    0.000088853500    0.000098607736    0.000106697582    0.000111121612    0.000110932211    0.000105891217    0.000096908341    0.000085576903    0.000073655283    0.000062539912    0.000052830506    0.000044631168    0.000037800364    0.000032096559    0.000027353319    0.000023520350    0.000020502872    0.000018072149    0.000015969683    0.000014080383    0.000012335617    0.000010640925    0.000008971347    0.000007432667    0.000006149821    0.000005158652    0.000004402813    0.000003814053    0.000003410349    0.000003152910    0.000002984905    0.000002875597    0.000002791178    0.000002747179    0.000002752096    0.000002763199    0.000002747678    0.000002718995    0.000002704610    0.000002704900    0.000002699531    0.000002695943    0.000002691333    0.000002684075    0.000002674542    0.000002663573    0.000002651586    0.000002638960    0.000002624996    0.000002610770    0.000002601834    0.000002601173    0.000002606186    0.000002614441    0.000002626110    0.000002642163    0.000002662872    0.000002688192    0.000002717053    0.000002744240    0.000002763846    0.000002777254    0.000002785148    0.000002788018    0.000002786476    0.000002781108    0.000002772334    0.000002760226    0.000002745585
